ID;Tag;Start;Dauer;Avg. HR;RMSSD;SDNN;pNN50;RRmin;RRmean;RRmax;LF;HF;LF/HF;Total
1;16.09.16;06:05:22;0:09:16;45.88348653;126.24;140.54;70.17;957;1307.66;1713;4631.27;5146.58;0.9;10123.84
2;15.09.16;06:02:20;0:09:00;43.15304948;158.44;168.14;74.15;1031;1390.4;1862;9092.6;6849.49;1.33;16885.63
3;14.09.16;06:04:41;0:09:10;45.70314285;159;182.46;74.7;660;1312.82;1817;5338.19;8879.82;0.6;15213.63
4;13.09.16;06:05:16;0:08:15;43.6037005;137.65;151.75;76.54;1055;1376.03;1921;5403.19;5080;1.06;10948.85
5;12.09.16;06:35:00;0:10:00;39.57783641;119.72;130.31;64.12;1107;1516;2074;4767.42;2906.28;1.64;7816.27
6;11.09.16;07:06:54;0:07:52;45.59928865;77.82;128.74;42.94;966;1315.81;1614;3398.78;910.47;3.73;4406.43
7;10.09.16;07:29:39;0:10:22;50.61241016;110.57;130.74;53.49;655;1185.48;1747;4116.99;11281.73;0.36;15767.92
8;09.09.16;06:38:41;0:10:29;48.03612316;107.07;134.82;62.15;664;1249.06;1692;2229.4;3810.64;0.59;6291.92
9;08.09.16;06:34:12;0:10:37;46.15136108;124.55;121.83;70.37;1007;1300.07;1726;2003.6;5199.58;0.39;7345.36
10;07.09.16;06:27:32;0:10:24;43.38143853;169.34;155.61;76.56;1004;1383.08;1945;2739.28;7143.58;0.38;10244.97
11;06.09.16;06:51:58;0:10:26;42.12063349;145.14;183.18;76.09;1036;1424.48;1894;3926.46;6009.55;0.65;10224.53
12;05.09.16;07:14:45;0:10:43;39.95604835;124.53;125.31;73.05;1198;1501.65;1875;2690.42;3200.38;0.84;6249.83
13;04.09.16;08:02:34;0:10:28;43.598631;113.91;144.87;60.89;1039;1376.19;1731;3353.7;2841.28;1.18;6787.45
14;03.09.16;07:34:58;0:10:10;39.33394519;147.58;143.61;71.57;1103;1525.4;1982;6071.74;3067.26;1.98;9633.76
15;02.09.16;07:45:31;0:10:57;45.14468873;110.69;142.58;57.77;675;1329.06;1756;2627.74;7150.78;0.37;10109.99
16;01.09.16;07:35:12;0:14:10;40.56054676;148.56;147.87;73.23;1082;1479.27;1883;6685.32;6015.62;1.11;13039.76
17;31.08.16;08:02:56;0:09:32;47.32868986;104.52;151.2;52.75;925;1267.73;2045;8067.03;4597.52;1.75;14285.88
18;30.08.16;07:43:12;0:16:24;40.14129737;162;164.38;75.12;709;1494.72;1997;6767.02;5793.26;1.17;12997.71
19;29.08.16;07:45:23;0:11:05;42.91968297;121.21;148.59;67.8;1029;1397.96;1784;4037.03;3564.82;1.13;8006.12
20;28.08.16;07:33:02;0:11:43;46.2028923;99.22;112.54;58.76;1028;1298.62;1738;3994.78;2672.09;1.5;6947.75
21;27.08.16;07:50:19;0:10:50;46.53254952;82.43;114.88;51.11;1088;1289.42;1680;2252.38;1254.63;1.8;3639.3
22;26.08.16;07:21:46;0:11:30;40.05688077;140.23;150.66;72.53;987;1497.87;1902;7383.83;3689.29;2;11898.33
23;25.08.16;07:41:13;0:10:09;45.88664469;125.68;155;64.25;715;1307.57;1732;4702.19;4357.41;1.08;9417.74
24;24.08.16;08:01:45;0:08:00;47.23330893;88.71;127.12;46.61;837;1270.29;1750;2680.26;2141.69;1.25;5322.97
25;23.08.16;07:44:56;0:09:03;45.3066125;114.3;136.3;60.15;1037;1324.31;1763;2721.41;3094.44;0.88;6471.33
26;22.08.16;07:25:22;0:10:18;44.58513532;152.71;181.51;68.06;929;1345.74;1784;8353.81;4278.41;1.95;13179.22
27;21.08.16;07:48:22;0:10:30;48.89776293;137.65;184.32;60.47;532;1227.05;1749;3819.43;4184.31;0.91;8774.9
28;20.08.16;07:10:43;0:10:12.627000;43.08920903;128;164.31;66.91;1000;1392.46;1835;7575.91;3785.35;2;11757.79
29;19.08.16;06:33:20;0:10:11.646000;46.04404881;142.4;173.75;69.98;956;1303.1;1716;5495.28;4442.62;1.24;10642.34
30;18.08.16;06:40:39;0:10:03.466000;48.79992843;100.49;143.02;63.61;700;1229.51;2188;4409.48;3543.7;1.24;8080.56
31;17.08.16;07:02:46;0:09:48.689000;53.26893711;70.45;108.72;39.79;949;1126.36;2039;1762.06;1771.34;0.99;3782.88
32;16.08.16;06:40:29;0:11:00.567000;46.13752057;137.43;176.36;68.42;951;1300.46;1788;3763.93;4457.28;0.84;9635.71
33;15.08.16;06:36:01;0:10:41.062000;46.38649225;123.59;179.5;67.65;935;1293.48;2100;6088.52;2877.01;2.12;9893.11
34;14.08.16;07:19:11;0:10:31.809000;49.81237339;90.85;113.56;61.12;958;1204.52;1526;2099.31;2301;0.91;4774.87
35;13.08.16;07:04:02;0:11:41.479000;47.31786565;121.65;174.76;67.13;700;1268.02;2180;8720.24;8606.44;1.01;18059.47
36;12.08.16;06:16:26;0:10:54.729000;49.78468125;84.32;111.33;51.51;890;1205.19;1553;1751.19;1855.08;0.94;3814.08
37;11.08.16;06:31:21;0:10:46.953000;43.09694658;115.6;142.99;64.4;1002;1392.21;1760;3363.58;2507.64;1.34;6096.9
38;10.08.16;06:27:33;0:10:04.900000;44.00181874;134.16;160.23;72.29;1031;1363.58;1775;5071.58;5246.02;0.97;10529.52
39;09.08.16;06:13:20;0:10:46.863000;46.3517324;142.01;157.84;69.2;1010;1294.45;1776;3149.24;4439.62;0.71;7760.54
40;08.08.16;06:35:01;0:10:16.669000;50.36218807;98.91;133.72;53.93;700;1191.37;1662;2916.53;2211.73;1.32;5990.02
41;07.08.16;07:12:54;0:11:12.829000;53.91901364;69.13;102.46;43.17;927;1112.78;1531;2195.77;1528.55;1.44;3842.5
42;06.08.16;07:07:39;0:10:32.009000;48.87744795;102.8;150.87;54.47;1006;1227.56;1747;1766.35;3492.91;0.51;5648.87
43;05.08.16;06:25:44;0:10:07.413000;47.90227935;107.76;127.62;61.89;992;1252.55;2129;3628.24;3425.39;1.06;7811.21
44;04.08.16;06:26:59;0:10:34.822000;46.39510068;120.37;164.23;65.87;700;1293.24;2162;3805.21;4078.75;0.93;8532.19
45;03.08.16;06:14:18;0:10:19.595000;44.6694461;129.25;125.34;74.5;1028;1343.2;1767;1908.06;4726.96;0.4;6866.61
46;02.08.16;06:27:26;0:10:22.517000;41.20086796;126.83;131.78;65.38;1104;1456.28;1849;5269.6;2519.28;2.09;7999.92
47;01.08.16;06:27:39;0:10:35.487000;40.14210304;118.19;134.92;70.88;1151;1494.69;1816;6657.45;3165.15;2.1;10313.88
48;31.07.16;06:58:22;0:10:02.130000;39.52621247;42.87;62.93;19.75;1283;1517.98;1664;1235.53;94.71;13.05;1389.08
49;30.07.16;07:04:51;0:10:50.685000;45.72578248;114.23;157.07;62.16;995;1312.17;1738;3487.45;3554.98;0.98;7333.98
50;29.07.16;06:27:48;0:10:40.718000;43.00242964;122.68;129.15;74.66;1046;1395.27;1814;3340.83;2907.1;1.15;6985.26
51;28.07.16;06:30:12;0:09:29.643000;45.22703974;118.71;149.64;68.16;1016;1326.64;1735;2050.8;3618.06;0.57;6235.08
